ticker,market,prep_time_min,period_months,loss_amount,win_prob,rr_ratio,risk_span,max_dd_ratio,comment,position_qty,pl_unrealized,category,auto_filled
1329.T,jp,30,1,25000,0.35,1.8,20000,0.20,日経225ETF 短期〜1ヶ月スイング,150,8111,INDEX,0
1489.T,jp,49.0,3.8,32000.0,0.36000000000000004,2.2,30200.0,0.316,,,,OTHER,1
1496.T,jp,49.0,3.8,32000.0,0.36000000000000004,2.2,30200.0,0.316,,,,OTHER,1
1540.T,jp,40,4,30000,0.35,1.8,25000,0.15,純金ETF 中期リスクヘッジ＋値幅取り,100,167900,GOLD,0
2866.T,jp,49.0,3.8,32000.0,0.36000000000000004,2.2,30200.0,0.316,,,,OTHER,1
2914.T,jp,45,6,30000,0.40,2.0,15000,0.18,JT 高配当＋半年スイング候補,0,0,JP_HIGH_DIV,0
4063.T,jp,55,4,35000,0.35,2.0,28000,0.28,信越化学 成長株・中期スイング,100,27300,OTHER,0
5713.T,jp,60,3,40000,0.35,2.0,30000,0.35,住友金属鉱山 資源株・ボラ高め,100,15600,OTHER,0
6339.T,jp,60,3,30000,0.35,2.0,32000,0.40,新東工業 攻め枠・値動き大きい,0,0,HI_VOLA,0
8058.T,jp,40,6,25000,0.40,2.0,18000,0.25,三菱商事 商社株・半年スイング,100,80500,OTHER,0
8316.T,jp,49.0,3.8,32000.0,0.36000000000000004,2.2,30200.0,0.316,,,,OTHER,1
AMZN,us,50,3,35000,0.40,2.0,40000,0.25,AMAZON コアAI・中期スイング,10,3022,MEGATECH,0
BE,us,40,3,25000,0.30,3.0,35000,0.45,BE クリーンエネ・中期トレード,1,0,OTHER,0
GLDM,us,40,3,30000,0.40,2.0,25000,0.20,GLDM ゴールドETF・為替込み,0,0,GOLD,0
IREN,us,70,1,30000,0.30,3.0,70000,0.55,IREN BTC連動・高ボラ短期,2,620,HI_VOLA,0
JEPI,us,35,3,25000,0.35,1.8,30000,0.30,カバコ ETF,32,4500,INDEX,0
JEPQ,us,35,3,25000,0.35,1.8,30000,0.30,QQQ NASDAQカバコ ETF,53,6200,INDEX,0
LITE,us,60,1,30000,0.35,2.5,60000,0.45,LITE AI光学関連・短期スイング,0,0,MEGATECH,0
MSFT,us,50,3,35000,0.40,2.0,40000,0.25,MSFT コアAI・中期スイング,0,0,MEGATECH,0
NBIS,us,49.0,3.8,32000.0,0.36000000000000004,2.2,30200.0,0.316,,,,OTHER,1
NVDA,us,53.333333333333336,2.3333333333333335,33333.333333333336,0.3833333333333333,2.1666666666666665,46666.666666666664,0.31666666666666665,,,,MEGATECH,1
QQQI,us,35,3,25000,0.35,1.8,30000,0.30,QQQI NASDAQカバコ ETF,1,300,INDEX,0
SPY,us,49.0,3.8,32000.0,0.36000000000000004,2.2,30200.0,0.316,,,,OTHER,1
WMT,us,50,3,35000,0.40,2.0,40000,0.25,Wolmart・中期スイング,0,0,OTHER,0
^DJI,us,49.0,3.8,32000.0,0.36000000000000004,2.2,30200.0,0.316,,,,OTHER,1
^GSPC,us,49.0,3.8,32000.0,0.36000000000000004,2.2,30200.0,0.316,,,,OTHER,1
^IXIC,us,49.0,3.8,32000.0,0.36000000000000004,2.2,30200.0,0.316,,,,OTHER,1
^N225,us,49.0,3.8,32000.0,0.36000000000000004,2.2,30200.0,0.316,,,,OTHER,1
^NDX,us,49.0,3.8,32000.0,0.36000000000000004,2.2,30200.0,0.316,,,,OTHER,1
^RUT,us,49.0,3.8,32000.0,0.36000000000000004,2.2,30200.0,0.316,,,,OTHER,1
^VIX,us,49.0,3.8,32000.0,0.36000000000000004,2.2,30200.0,0.316,,,,OTHER,1
