ticker,close,stress_v,shk_act,shk_F,shk_stat,zscore,signal,dahs_v,regime_v,vwap20,vp_poc,pct_1d,rsi,name
2914.T,5917.0,0.3722,hold,NORMAL,OK,1.345,BUY,4,0.0,5533.29,4908.5,0.012,87.22,JT
8316.T,4721.0,0.3529,hold,NORMAL,OK,2.262,TAKE_PROFIT,4,0.0,4311.92,4076.35,0.021,85.29,三井住友F
SPY,679.63,0.3482,hold,NORMAL,OK,0.767,TAKE_PROFIT,5,1.0,670.59,671.5,0.0069,84.0,SPY
4063.T,4648.0,0.3297,hold,NORMAL,OK,1.09,BUY,4,0.0,4561.91,4419.71,0.0067,82.97,信越化学
MSFT,485.49,0.3085,hold,NORMAL,OK,-0.882,BUY,4,1.0,499.25,517.3,0.0178,71.58,MSFT
GLDM,82.44,0.2781,hold,NORMAL,OK,1.335,BUY,4,1.0,80.68,81.56,0.0078,67.81,Gold
NVDA,180.19,0.2542,hold,NORMAL,OK,-1.119,HOLD,3,1.0,188.54,177.86,0.0137,45.27,Nvidia
1540.T,19915.0,0.2353,hold,NORMAL,OK,1.07,BUY,4,0.0,19375.88,19410.94,0.003,73.53,純金上場信託（1540）
JEPQ,58.41,0.2192,hold,NORMAL,OK,0.561,BUY,4,0.0,57.73,57.22,0.0081,71.92,JEPQ
5713.T,5043.0,0.2176,hold,NORMAL,OK,0.549,TAKE_PROFIT,3,0.0,4973.41,4941.9,0.0323,71.76,住友鉱山
6339.T,1035.0,0.217,hold,NORMAL,OK,1.238,TAKE_PROFIT,4,0.0,1008.79,1004.35,0.0147,71.7,新東工業
BE,101.18,0.1914,hold,NORMAL,OK,-0.904,BUY,4,0.0,113.93,88.64,0.0726,63.65,BE
8058.T,3691.0,0.1691,hold,NORMAL,OK,0.701,BUY,4,0.0,3647.68,3571.23,0.0019,66.91,三菱商事
NBIS,94.68,0.0902,hold,NORMAL,OK,-0.419,BUY,4,0.0,97.01,95.3,0.0654,56.54,NBIS
LITE,308.26,0.082,hold,NORMAL,OK,1.985,BUY,4,0.0,245.15,166.17,0.0584,58.2,LITE
IREN,48.45,0.0767,hold,NORMAL,OK,-0.678,BUY,3,0.0,55.41,60.7,0.0206,49.8,IREN
^VIX,17.2,0.4432888888888889,hold,NORMAL,OK,-0.923,HOLD,0,2.0,,,-0.0738,18.89,恐怖指数（VIX）
