ticker,name,OK,Score
4063.T,信越化学,False,0
5713.T,住友鉱山,False,0
6339.T,新東工業,False,0
^N225,日経225先物,False,0
^VIX,恐怖指数（VIX）,False,0
^DJI,ダウ平均指数,False,0
^GSPC,SP500,False,0
SPY,SPY,False,0
^NDX,NASDAQ100,False,0
^IXIC,NASDAQ総合,False,0
^RUT,Russell_2000,False,0
GLDM,Gold,False,0
1540.T,純金上場信託（1540）,False,0
2914.T,JT,False,0
8058.T,三菱商事,False,0
8316.T,三井住友F,False,0
1496.T,USD投資適格社債ETF(H),False,0
2866.T,GX米国優先証券,False,0
1329.T,日経225ETF,False,0
1489.T,日経平均高配当ETF,False,0
LITE,LITE,False,0
IREN,IREN,False,0
NBIS,NBIS,False,0
BE,BE,False,0
JEPQ,JEPQ,False,0
NVDA,Nvidia,False,0
MSFT,MSFT,False,0
