ticker,role,trend,score,last,pct,vwap20,vp_poc,rsi,rsi_zone,atr14,ema10,ema20,sma50,sma200,kel_mid,kel_up,kel_dn
SPY,risk_asset,up,2,681.53,0.1852,670.29,671.18,48.97,neutral,9.9386,675.23,673.54,671.06,616.77,673.54,693.42,653.66
QQQ,risk_asset,up,2,622.0,0.7826,607.43,604.69,50.25,neutral,12.55,611.99,611.0,609.49,546.02,611.0,636.09,585.91
NVDA,leader,range,1,181.46,0.8559,185.62,177.18,38.54,neutral,8.1036,181.7,184.44,186.85,154.1,184.44,200.64,168.23
MSFT,leader,range,1,490.0,0.6698,493.85,517.3,38.84,neutral,11.72,488.27,494.48,509.48,468.79,494.48,517.92,471.05
NBIS,Hi_vola,range,0,96.45,-3.6945,94.67,95.22,45.8,neutral,9.3481,94.55,97.6,109.96,61.64,97.6,116.3,78.9
5713.T,住友鉱山,up,0,5119.0,0.6488,4984.56,5096.46,49.96,neutral,164.5,5031.83,5007.24,4966.18,3818.51,5007.24,5336.24,4678.24
4063.T,信越化学,range,0,4684.0,-0.8887,4566.81,4419.71,56.15,neutral,86.93,4633.73,4629.85,4751.96,4541.06,4629.85,4803.7,4455.99
6339.T,新東工業,up,0,1040.0,1.3645,1003.17,1005.12,69.05,neutral,15.86,1023.26,1018.42,1022.72,910.86,1018.42,1050.14,986.71
8316.T,三井住友F,up,0,4817.0,-2.0537,4471.67,4078.69,74.88,overbought,131.64,4655.88,4502.68,4227.54,3838.69,4502.68,4765.97,4239.4
8058.T,三菱商事,up,0,3670.0,-0.2175,3651.86,3570.44,46.06,neutral,70.14,3668.04,3658.83,3620.4,3045.53,3658.83,3799.12,3518.55
2914.T,JT,up,0,5814.0,-1.7241,5695.02,4938.56,63.11,neutral,95.0,5800.99,5666.12,5240.74,4545.18,5666.12,5856.12,5476.12
1540.T,Gold,up,0,20020.0,-0.1745,19629.92,19467.71,53.84,neutral,355.36,19891.06,19735.65,19363.6,15681.52,19735.65,20446.37,19024.94
BE,Hi_vola,range,0,105.0,6.1357,109.58,85.94,38.95,neutral,14.37,103.53,107.08,105.01,48.43,107.08,135.82,78.34
IREN,Hi_vola,range,0,41.12,-15.2,52.3,46.56,28.03,oversold,5.7125,47.22,50.23,55.03,23.91,50.23,61.65,38.8
LITE,Hi_vola,up,0,302.81,-4.7558,257.51,160.58,60.64,neutral,28.07,289.18,264.43,206.29,118.8,264.43,320.57,208.29
JEPQ,JEPQ,up,0,58.48,0.5329,57.65,57.31,48.43,neutral,1.0939,57.97,57.89,57.79,54.6,57.89,60.08,55.7
JEPI,JEPI,up,0,57.16,-0.0874,56.72,56.92,50.56,neutral,0.558,57.11,56.96,56.88,56.55,56.96,58.08,55.85
AMZN,AMAZON,up,0,234.42,0.2309,233.73,222.43,35.48,neutral,6.3193,231.1,231.45,227.75,214.72,231.45,244.09,218.82
^TNX,yield,range,0,4.086,-0.2441,,,45.91,neutral,0.052,4.0657,4.0723,4.0791,4.2552,4.0723,4.1763,3.9683
UUP,dollar,range,0,28.19,-0.0355,28.24,28.22,53.85,neutral,0.0993,28.24,28.2,27.97,27.76,28.2,28.4,28.0
^VIX,vix,down,0,16.5,-0.5425,,,47.81,neutral,3.2857,18.39,18.96,18.5,19.69,18.96,25.53,12.38
GLDM,gold,up,0,83.32,-0.6439,81.3,81.44,58.58,neutral,1.2876,82.31,81.54,79.99,68.66,81.54,84.11,78.96
JPY=X,fx,range,0,155.74,0.1164,,,59.29,neutral,1.085,155.9,155.31,152.91,148.1,155.31,157.48,153.14
